date,dailyreturn
2019-08-02,-0.65
2019-08-05,-2.59
2019-08-06,-0.91
2019-08-07,1.38
2019-08-08,1.14
2019-08-09,0.12
2019-08-12,-0.50
2019-08-13,-0.63
2019-08-14,0.91
2019-08-15,-0.16
2019-08-16,0.46
2019-08-19,0.16
2019-08-20,-0.02
2019-08-21,-0.68
2019-08-22,-0.22
2019-08-23,0.26
2019-08-26,-0.66
2019-08-27,1.02
2019-08-28,0.06
2019-08-29,0.12
2019-08-30,0.63
2019-09-02,-0.60
2019-09-03,-0.46
2019-09-04,0.13
2019-09-05,0.59
2019-09-06,0.03
2019-09-09,0.27
2019-09-10,0.17
2019-09-11,0.71
2019-09-12,-0.62
2019-09-13,-0.12
2019-09-16,-1.82
2019-09-17,0.28
2019-09-18,0.64
2019-09-19,-0.51
2019-09-20,-0.21
2019-09-23,-0.41
2019-09-24,-1.11
2019-09-25,0.14
2019-09-26,1.37
2019-09-27,-0.54
2019-09-30,-0.45
2019-10-01,-0.50
2019-10-02,-1.35
2019-10-03,-0.28
2019-10-04,0.38
2019-10-07,-1.00
2019-10-08,0.65
2019-10-09,-0.17
2019-10-10,-0.09
2019-10-11,1.36
2019-10-14,0.35
2019-10-15,0.51
2019-10-16,0.19
2019-10-17,0.19
2019-10-18,0.18
2019-10-21,0.11
2019-10-22,0.43
2019-10-23,0.52
2019-10-24,1.31
2019-10-25,-1.38
2019-10-28,0.21
2019-10-29,0.25
2019-10-30,0.23
2019-10-31,-1.07
2019-11-01,-0.34
2019-11-04,-0.43
2019-11-05,1.36
2019-11-06,-0.74
2019-11-07,-0.84
2019-11-08,0.20
2019-11-11,-0.47
2019-11-12,0.52
2019-11-13,-0.62
2019-11-14,-0.71
2019-11-15,0.48
2019-11-18,-0.09
2019-11-19,0.48
2019-11-20,0.05
2019-11-21,-0.61
2019-11-22,-0.28
2019-11-25,-0.48
2019-11-26,-0.73
2019-11-27,-0.05
2019-11-28,-1.16
2019-11-29,0.99
2019-12-02,1.97
2019-12-03,0.06
2019-12-04,-0.34
2019-12-05,0.64
2019-12-06,0.56
2019-12-09,0.11
2019-12-10,-0.17
2019-12-11,-0.06
2019-12-12,-0.66
2019-12-13,0.94
2019-12-16,0.23
2019-12-17,0.53
2019-12-18,0.69
2019-12-19,-0.59
2019-12-20,0.55
2019-12-23,0.34
2019-12-26,0.21
2019-12-27,0.16
2019-12-30,-0.47
2020-01-02,-0.25
2020-01-03,0.63
2020-01-06,-1.04
2020-01-07,0.35
2020-01-08,-0.85
2020-01-09,0.78
2020-01-10,0.01
2020-01-13,0.34
2020-01-14,0.46
2020-01-15,-0.66
2020-01-16,0.04
2020-01-17,0.09
2020-01-20,-0.74
2020-01-21,-0.11
2020-01-22,-0.08
2020-01-23,0.25
2020-01-24,-0.08
2020-01-27,-1.78
2020-01-28,-0.36
2020-01-29,0.03
2020-01-30,-0.91
2020-01-31,-1.94
2020-02-03,-0.94
2020-02-04,0.65
2020-02-05,0.95
2020-02-06,0.14
2020-02-07,0.21
2020-02-10,-0.79
2020-02-11,0.04
2020-02-12,-0.69
2020-02-13,-0.70
2020-02-14,-0.09
2020-02-17,0.01
2020-02-18,0.33
2020-02-19,0.71
2020-02-20,0.23
2020-02-21,-1.01
2020-02-24,-1.28
2020-02-25,-0.34
2020-02-26,-1.70
2020-02-27,-2.69
2020-02-28,-1.50
2020-03-02,-1.68
2020-03-03,2.94
2020-03-04,2.38
2020-03-05,-0.21
2020-03-06,-2.48
2020-03-09,-6.58
2020-03-10,1.64
2020-03-11,-1.28
2020-03-12,-5.01
2020-03-13,0.24
2020-03-16,-4.42
2020-03-17,-4.99
2020-03-18,-2.83
2020-03-19,-5.20
2020-03-20,2.18
2020-03-23,-4.90
2020-03-24,-1.30
2020-03-26,10.19
2020-03-27,4.76
2020-03-30,-2.88
2020-03-31,2.82
2020-04-01,-1.61
2020-04-02,1.47
2020-04-03,2.02
2020-04-06,4.07
2020-04-07,-0.69
2020-04-08,-3.18
2020-04-09,0.48
2020-04-13,-0.54
2020-04-14,1.79
2020-04-15,-1.71
2020-04-16,-3.14
2020-04-17,3.44
2020-04-20,-1.27
2020-04-21,-1.62
2020-04-22,1.46
2020-04-23,0.57
2020-04-24,-2.12
2020-04-27,0.38
2020-04-28,0.36
2020-04-29,0.83
2020-04-30,3.26
2020-05-04,-2.35
2020-05-05,0.54
2020-05-06,-0.46
2020-05-08,-0.25
2020-05-11,0.91
2020-05-12,-1.09
2020-05-13,-0.75
2020-05-14,-0.89
2020-05-15,-0.14
2020-05-18,0.08
2020-05-19,0.83
2020-05-20,-0.06
2020-05-26,1.78
2020-05-27,0.32
2020-05-28,1.61
2020-05-29,0.79
2020-06-02,1.98
2020-06-03,1.93
2020-06-04,-0.49
2020-06-05,0.63
2020-06-08,2.48
2020-06-09,-0.70
2020-06-10,-2.27
2020-06-11,-1.34
2020-06-12,0.53
2020-06-15,-1.31
2020-06-16,3.53
2020-06-17,0.03
2020-06-18,-1.25
2020-06-19,0.35
2020-06-22,-0.47
2020-06-23,-0.81
2020-06-24,1.75
2020-06-25,-1.37
2020-06-26,0.15
2020-06-29,-0.05
2020-06-30,0.07
2020-07-01,0.18
2020-07-02,1.07
2020-07-03,0.14
2020-07-06,0.30
2020-07-07,-0.04
2020-07-08,1.79
2020-07-09,-0.46
2020-07-10,-0.43
2020-07-13,0.66
2020-07-14,0.29
2020-07-15,-0.07
2020-07-16,0.44
2020-07-17,-0.37
2020-07-20,-0.56
2020-07-21,1.26
2020-07-22,-0.09
2020-07-23,0.68
2020-07-24,-1.21
2020-07-27,0.66
2020-07-28,-0.07
2020-07-29,0.72
2020-07-30,0.00
2020-08-03,-2.78
2020-08-04,1.37
2020-08-05,1.03
2020-08-06,1.00
2020-08-07,-0.66
2020-08-10,0.27
2020-08-11,0.63
2020-08-12,0.83
2020-08-13,0.11
2020-08-14,0.16
2020-08-18,0.90
2020-08-19,-0.42
2020-08-24,0.08
2020-08-25,1.17
2020-08-26,0.03
2020-08-27,0.58
2020-08-28,-0.46
2020-08-31,-2.02
2020-09-01,1.38
2020-09-02,0.02
2020-09-03,-0.59
2020-09-04,-0.78
2020-09-07,-0.18
2020-09-08,0.27
2020-09-09,-1.81
2020-09-10,-5.01
2020-09-11,2.56
2020-09-14,2.89
2020-09-15,-1.18
2020-09-16,-0.83
2020-09-17,-0.40
2020-09-18,0.41
2020-09-21,-1.18
2020-09-22,-1.31
2020-09-23,-0.33
2020-09-24,-1.53
2020-09-25,2.13
2020-09-28,-0.79
2020-09-29,-0.56
2020-09-30,-0.19
2020-10-01,2.05
2020-10-02,-0.87
2020-10-05,0.65
2020-10-06,0.82
2020-10-07,0.10
2020-10-08,0.70
2020-10-09,0.29
2020-10-12,0.78
